"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"EXTR","Extreme Networks, Inc.","10.71","$1.23B","1999","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/extr"
"EYEG","Eyegate Pharmaceuticals, Inc.","0.5526","$17.9M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eyeg"
"EYEGW","Eyegate Pharmaceuticals, Inc.","0.09","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eyegw"
"EYEN","Eyenovia, Inc.","8.6","$85.46M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eyen"
"EYPT","EyePoint Pharmaceuticals, Inc.","2.47","$133.16M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/eypt"
"EZPW","EZCORP, Inc.","13.2","$718.93M","1991","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/ezpw"
"FFIV","F5 Networks, Inc.","158.47","$9.8B","1999","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/ffiv"
"FB","Facebook, Inc.","174.16","$504.95B","2012","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/fb"
"DAVE","Famous Dave&#39;s of America, Inc.","8.4","$76.04M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/dave"
"FANH","Fanhua Inc.","27.04","$1.76B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/fanh"
"FARM","Farmer Brothers Company","28.75","$485.87M","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/farm"
"FMAO","Farmers & Merchants Bancorp, Inc.","44.78","$414.93M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fmao"
"FFKT","Farmers Capital Bank Corporation","50.5","$379.65M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffkt"
"FMNB","Farmers National Banc Corp.","15.1","$417.38M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fmnb"
